time,size,AtoB,AtoC,AtoD
35.97,674,2.6348e-2,2.6351702723e-2,5.6743702723e-2
36.1385,530,2.606e-2,2.6064001547e-2,5.5304001547e-2
36.271,1346,2.7692e-2,2.7699792991e-2,6.3467792991e-2
36.6075,1058,2.7116e-2,2.7122266679e-2,6.0586266679e-2
36.872,1250,2.75e-2,2.7506050911e-2,6.2506050911e-2
37.1845,770,2.654e-2,2.6543075674e-2,5.7703075674e-2
37.377,626,2.6252e-2,2.6256129875e-2,5.6264129875e-2
37.5335,866,6.9503529406e-2,6.9513520501e-2,0.101441520501
37.75,866,2.6732e-2,2.6740571539e-2,5.8668571539e-2
37.9665,1346,2.7692e-2,2.7698068459e-2,6.3466068459e-2
38.303,194,2.5388e-2,2.5391371092e-2,5.1943371092e-2
38.3515,1106,2.7212e-2,2.7215033224e-2,6.1063033224e-2
38.628,98,2.5196e-2,2.5197703054e-2,5.0981703054e-2
38.6525,338,2.5676e-2,2.568138526e-2,
38.737,1058,2.7116e-2,2.71256765e-2,6.05896765e-2
39.0015,1202,2.7404e-2,2.7406869361e-2,6.2022869361e-2
39.302,530,2.606e-2,2.6061564003e-2,5.5301564003e-2
39.4345,1010,2.702e-2,2.702471639e-2,6.010471639e-2
39.687,770,2.654e-2,2.6544128474e-2,5.7704128474e-2
39.8795,866,2.6732e-2,2.6738089999e-2,5.8666089999e-2
40.096,1394,2.7788e-2,2.7794142203e-2,6.3946142203e-2
40.4445,386,2.5772e-2,2.5776440362e-2,5.3864440362e-2
40.541,770,2.654e-2,2.6544967057e-2,5.7704967057e-2
40.7335,770,2.654e-2,2.6543382379e-2,5.7703382379e-2
40.926,338,3.925836093e-2,3.9268200514e-2,6.6972200514e-2
41.0105,1346,2.7692e-2,2.7694224251e-2,6.3462224251e-2
41.347,194,2.5388e-2,2.5389432575e-2,
41.3955,530,2.606e-2,2.6067539073e-2,5.5307539073e-2
41.528,1202,2.7404e-2,2.7412433784e-2,6.2028433784e-2
41.8285,1106,2.7212e-2,2.7221089391e-2,6.1069089391e-2
42.105,194,2.5388e-2,2.5397807535e-2,5.1949807535e-2
42.1535,1490,2.798e-2,2.7985083228e-2,0.10236783554
42.526,1490,2.798e-2,2.7984287366e-2,6.4904287366e-2
42.8985,770,2.654e-2,2.6545051976e-2,5.7705051976e-2
43.091,674,2.6348e-2,2.6353385926e-2,5.6745385926e-2
43.2595,1346,2.7692e-2,2.7696124708e-2,6.3464124708e-2
43.596,242,2.5484e-2,2.548853507e-2,5.242453507e-2
43.6565,1202,2.7404e-2,2.7410634593e-2,6.2026634593e-2
43.957,50,2.51e-2,2.5103912539e-2,5.0503912539e-2
43.9695,578,2.6156e-2,2.6157173415e-2,5.5781173415e-2
44.114,722,2.6444e-2,2.6451732407e-2,5.7227732407e-2
44.2945,386,2.5772e-2,2.5777094429e-2,5.3865094429e-2
